Last name, First name, Full name, Countries, born, died
Gerlecka, Regina, Regina Gerlecka, Poland, 1913, 1983
Darga, Klaus, Klaus Darga, Germany, 1934,
Vygodchikov, Konstantin, Konstantin Vygodchikov, "Belarus, Russia", 1892,  1941
Ardid, Ramón Rey, Ramón Rey Ardid, Spain, 1903, 1988
Reinderman, Dimitri, Dimitri Reinderman, Netherlands, 1972,
Neikirch, Oleg, Oleg Neikirch, "Georgia, Bulgaria", 1914,  1985
Sturua, Zurab, Zurab Sturua, Georgia, 1964,
Birnboim, Nathan, Nathan Birnboim, Israel, 1950,
Riemann, Fritz, Fritz Riemann, Germany, 1859, 1932
Bruzón, Lázaro, Lázaro Bruzón, Cuba, 1982,
From, Martin Severin, Martin Severin From, Denmark, 1828, 1895
Fahrni, Hans, Hans Fahrni, "Bohemia, Switzerland", 1874, 1939
Ahues, Carl, Carl Ahues, Germany, 1883, 1968
Iuldachev, Saidali, Saidali Iuldachev, Uzbekistan, 1968,
Grob, Henri, Henri Grob, Switzerland, 1904, 1974
Bleijkmans, Dirk, Dirk Bleijkmans, "Netherlands, Indonesia", 1875, ?
Ipatov, Alexander, Alexander Ipatov, "Ukraine, Spain, Turkey", 1993, 
Alburt, Lev, Lev Alburt, "Russia, US", 1945,
Corke, Anya, Anya Corke, "England, Hong Kong", 1990,
Rubanraut, Serge, Serge Rubanraut, "China, Australia", 1948,  2008
Rotlewi, Gersz, Gersz Rotlewi, Poland, 1889, 1920
Dyner, Boruch Israel, Boruch Israel Dyner, "Poland, Belgium, Israel", 1903, 1979
Ronde, Chris de, Chris de Ronde, "Netherlands, Argentina", 1912,  1996
Hebden, Mark, Mark Hebden, England, 1958,
Palmer, Ryan, Ryan Palmer, Jamaica, 1974,
Marshall, Frank, Frank Marshall, US, 1877, 1944
Foguelman, Alberto, Alberto Foguelman, Argentina, 1923, 2013
Nielsen, Torkil, Torkil Nielsen, Faroe Islands, 1964,
Mieses, Samuel, Samuel Mieses, Germany, 1841, 1884
Bilek, István, István Bilek, Hungary, 1932, 2010
Ekenberg, Bengt, Bengt Ekenberg, Sweden, 1912, 1986
Kagan, Bernhard, Bernhard Kagan, "Poland, Germany", 1866, 1932
Guggenberger, Ilse, Ilse Guggenberger, Colombia, 1942,
Marco, Georg, Georg Marco, "Romania, Austria", 1863, 1923
Olland, Adolf Georg, Adolf Georg Olland, Netherlands, 1867, 1933
Schmidt, Paul Felix, Paul Felix Schmidt, "Estonia, Germany, US", 1916,  1984
Baender, Paul, Paul Baender, "Germany, Bolivia", 1906, 1985
Zukertort, Johannes, Johannes Zukertort, "Poland, Germany, England", 1842,  1888
Balashov, Yuri, Yuri Balashov, Russia, 1949,
Vladimirov, Evgeny, Evgeny Vladimirov, Kazakhstan, 1957,
Zagrebelny, Sergey, Sergey Zagrebelny, Uzbekistan, 1965,
Chanda, Sandipan, Sandipan Chanda, India, 1983,
Bauer, Johann Hermann, Johann Hermann Bauer, "Bohemia, Austria", 1861, 1891
Drezga, Tihomil, Tihomil Drezga, "Croatia, US", 1903, 1981
An, Yangfeng, An Yangfeng, China, 1963,
Wang, Yu, Wang Yu, China, 1982,
Blake, Joseph Henry, Joseph Henry Blake, England, 1859, 1951
Caoili, Arianne, Arianne Caoili, Australia, 1986, 2020
Hebert, Jean, Jean Hebert, Canada, 1957,
Gashimov, Vugar, Vugar Gashimov, Azerbaijan, 1986, 2014
Serper, Gregory, Gregory Serper, "Uzbekistan, US", 1969, 
Judd, Max, Max Judd, "Poland, US", 1851, 1906
Smyslov, Vasily Osipovich, Vasily Osipovich Smyslov, Russia, 1881, 1943
